QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,,,,,,,,,,,,202697_at,209436_at,230174_at,,241111_at,
,,,,,,,,,,,,202719_s_at,209437_s_at,214347_s_at,,241854_at,
,,,,,,,,,,,,202720_at,209458_x_at,226955_at,,241914_s_at,
,,,,,,,,,,,,202771_at,209550_at,224459_at,,241915_at,
,,,,,,,,,,,,202787_s_at,209687_at,211028_s_at,,241998_at,
,,,,,,,,,,,,202788_at,209709_s_at,205150_s_at,,242169_at,
,,,,,,,,,,,,202790_at,209758_s_at,213706_at,,242341_x_at,
,,,,,,,,,,,,202796_at,209773_s_at,232491_at,,243127_x_at,
,,,,,,,,,,,,202887_s_at,209821_at,211173_at,,243569_at,
,,,,,,,,,,,,202895_s_at,210145_at,213587_s_at,,244266_at,
,,,,,,,,,,,,202896_s_at,210340_s_at,1557189_at,,244689_at,
,,,,,,,,,,,,202897_at,210348_at,238575_at,,244742_at,
,,,,,,,,,,,,202910_s_at,210495_x_at,222932_at,,39248_at,
,,,,,,,,,,,,202997_s_at,210538_s_at,228219_s_at,,39249_at,
,,,,,,,,,,,,202999_s_at,210558_at,209703_x_at,,89977_at,
,,,,,,,,,,,,203046_s_at,210657_s_at,220507_s_at,,,
,,,,,,,,,,,,203084_at,210662_at,222901_s_at,,,
,,,,,,,,,,,,203085_s_at,210754_s_at,231273_x_at,,,
,,,,,,,,,,,,203108_at,210786_s_at,216504_s_at,,,
,,,,,,,,,,,,203237_s_at,210815_s_at,242536_at,,,
,,,,,,,,,,,,203238_s_at,210933_s_at,204755_x_at,,,
,,,,,,,,,,,,203287_at,210950_s_at,243706_at,,,
,,,,,,,,,,,,203372_s_at,210993_s_at,218285_s_at,,,
,,,,,,,,,,,,203373_at,211080_s_at,244044_at,,,
,,,,,,,,,,,,203411_s_at,211090_s_at,234586_at,,,
,,,,,,,,,,,,203477_at,211161_s_at,217047_s_at,,,
,,,,,,,,,,,,203504_s_at,211203_s_at,222705_s_at,,,
,,,,,,,,,,,,203505_at,211286_x_at,204867_at,,,
,,,,,,,,,,,,203578_s_at,211287_x_at,1559635_at,,,
,,,,,,,,,,,,203579_s_at,211428_at,235129_at,,,
,,,,,,,,,,,,203580_s_at,211429_s_at,217319_x_at,,,
,,,,,,,,,,,,203687_at,211546_x_at,207251_at,,,
,,,,,,,,,,,,203751_x_at,211560_s_at,202037_s_at,,,
,,,,,,,,,,,,203752_s_at,211652_s_at,211265_at,,,
,,,,,,,,,,,,203826_s_at,211663_x_at,1554974_at,,,
,,,,,,,,,,,,203887_s_at,211695_x_at,204304_s_at,,,
,,,,,,,,,,,,203888_at,211699_x_at,1559986_at,,,
,,,,,,,,,,,,203892_at,211719_x_at,1554847_at,,,
,,,,,,,,,,,,203945_at,211745_x_at,220357_s_at,,,
